70 69.5 66 96.2 69.23 72
40 61 40.5 94 46.15 52
90 60.5 100 87 76.92 82
110 88.5 63 70 57.69 76
82 74 81 70.85 65.38 74
72 80.5 30 45 65.38 60
77 80 60 96 61.54 72
70 58.5 49.5 80.57 46.15 58
61 60 52.5 94.75 57.69 60
68 63.5 28.5 56.85 57.69 56
90 79 67.5 94.37 57.69 74
43 67 31.5 97 53.85 54
109 56 57 72 34.62 62
35 79.5 21 50 57.69 50
110 68.5 94.5 87 69.23 84
95 78.5 69 91.14 42.31 70
85 84 69 87 42.31 70
62 73 82.5 96.95 53.85 70
101 53 100 90.2 57.69 78
89 91.5 73.5 98.6 46.15 74
86 71 49.5 100 65.38 72
66 64 37.5 50 26.92 46
110 92.5 100 100 84.62 100
73 54 19.5 90 61.54 56
70 66 48 60 42.31 56
56 72 90 92 57.69 70
75 70 43.5 90.04 57.69 64
68 53 12 90 38.46 48
101 64.5 91.5 92 69.23 82
87 52 85.5 90 61.54 72
57 63.5 72 95.4 65.38 68
78 82 64.5 93.83 38.46 66
110 55.5 97.5 98.2 76.92 86
71 84 70.5 78 53.85 70
48 48 70.5 97.58 50.00 58
60 50 15 85.37 57.69 50
93 82 100 99.6 73.08 86
86 80 70.5 70 76.92 78
67 68 63 97.04 50.00 64
80 73 90 99.14 57.69 76
65 74 67.5 94.75 76.92 74
74 72 12 75.71 46.15 54
75 77 75 84 61.54 72
75 47.5 50 83.6 61.54 62
55 63.5 85.5 85.04 65.38 70
69 65 61.5 84 38.46 60
95 58 33 90 53.85 62
97 62 97.5 30 38.46 66
47 53 48 79.08 65.38 58
85 66.5 67.5 82 42.31 64
85 63.5 54 87 34.62 60
94 23.4 70.5 78.85 50.00 60
60 45.5 33 87 53.85 52
105 78 27 99 65.38 72
67 74 73.5 100 69.23 74
49 67.5 100 97.71 34.62 64
66 75 90 91 69.23 76
58 74 46.5 87 61.54 62
95 79.5 51 68.5 57.69 70
95 60.5 84 93 42.31 70
77 72 64.5 98.83 57.69 70
     0
