1610 3 0 -99.0
1610 6 0 -99.0
1611 9 0 -99.0
1612 10 31 100.1
1612 11 30 134.4
1612 12 25 129.6
1613 1 28 118.4
1614 11 0 -99.0
1615 2 0 -99.0
1615 5 0 -99.0
1615 8 1 75.0
1615 12 0 -99.0
1616 6 6 15.0
1616 7 0 -99.0
1618 11 30 .0
1619 2 0 -99.0
1619 8 13 15.0
1620 7 0 -99.0
1621 5 0 -99.0
1621 9 16 15.0
1623 2 0 -99.0
1623 7 0 -99.0
1623 10 0 -99.0
1624 1 0 -99.0
1624 3 0 -99.0
1624 4 4 15.0
1625 4 30 33.5
1627 8 6 10.0
1627 10 0 -99.0
1627 11 0 -99.0
1629 2 2 30.0
1629 3 11 25.9
1629 6 3 15.0
1630 5 0 -99.0
1630 9 5 .0
1631 2 10 .0
1631 5 23 .0
1631 10 0 -99.0
1631 11 2 7.5
1633 2 28 .0
1634 12 25 3.6
1636 2 0 -99.0
1636 3 0 -99.0
1636 5 0 -99.0
1637 9 0 -99.0
1637 10 0 -99.0
1638 11 23 91.1
1639 3 31 70.4
1640 2 0 -99.0
1640 5 0 -99.0
1645 2 28 .0
1645 6 30 .0
1646 6 30 .0
1646 7 31 .0
1647 1 31 .0
1647 7 31 .0
1648 8 31 .0
1649 1 31 .0
1649 9 30 .0
1650 11 30 .0
1651 6 30 .0
1651 7 31 .0
1652 11 21 .0
1653 5 31 .0
1654 7 31 .0
1656 2 29 6.7
1656 3 31 .0
1657 1 31 .0
1657 9 30 .0
1658 2 28 .0
1658 10 31 .0
1659 6 30 .0
1660 3 31 2.7
1661 4 30 .0
1661 11 30 .0
1662 11 30 .0
1664 4 30 .0
1664 5 31 .0
1664 11 30 .0
1666 4 30 .0
1666 8 31 .0
1667 3 31 .0
1667 6 30 .0
1667 11 30 .0
1667 12 31 .0
1668 1 31 .0
1669 5 31 .0
1669 6 30 .0
1671 1 31 .0
1671 2 28 .0
1672 5 31 .0
1674 10 0 -99.0
1678 2 28 1.7
1679 9 30 .0
1680 5 31 4.8
1682 9 30 .0
1683 1 31 .0
1683 2 28 .0
1684 2 29 .0
1684 9 30 .0
1686 1 31 .0
1688 7 31 .0
1688 8 31 .0
1688 11 30 4.0
1688 12 31 .0
1690 4 30 .0
1690 8 31 .0
1690 9 30 .0
1690 12 31 .0
1691 2 28 .0
1691 3 31 .0
1691 6 30 .0
1691 7 31 .0
1692 6 30 .0
1692 9 30 .0
1694 8 31 .0
1695 3 31 .0
1696 2 29 .0
1697 5 31 .0
1699 5 31 .0
1699 12 31 .0
1701 9 30 .0
1701 11 30 4.4
1702 8 31 .0
1702 9 30 .0
1703 7 31 6.8
1703 8 31 .0
1703 11 30 3.1
1704 8 31 .5
1704 12 23 .5
1705 1 31 10.2
1706 1 31 .0
1706 8 31 .0
1709 11 30 7.4
1710 3 31 .0
1712 9 30 .0
1712 12 31 .0
1713 2 28 .0
1713 10 31 .0
1714 3 31 .0
1714 5 31 .0
1714 11 20 .0
1715 1 29 4.7
1715 3 31 .0
1716 5 31 9.4
1717 1 31 9.7
1717 3 31 10.8
1717 6 30 10.2
1720 1 20 16.9
1721 4 18 30.0
1721 8 31 10.1
1722 6 20 22.6
1723 7 0 -99.0
1724 11 0 -99.0
1725 3 1 12.0
1725 7 31 .0
1725 12 19 16.4
1726 9 30 42.0
1726 11 30 44.1
1726 12 19 53.7
1727 4 0 -99.0
1728 3 0 -99.0
1728 4 17 86.7
1729 7 6 5.0
1730 6 0 -99.0
